id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
1.183 0.086 0.0183201 145.9 0.0980 0.0102 0.0037
1.179 0.087 0.0179194 168.6 0.0367 0.0111 0.0049
1.181 0.086 0.0176152 191.4 -0.0342 0.0112 0.0021
1.184 0.085 0.017227 214.1 -0.0690 0.0106 0.0034
1.192 0.083 0.017691 236.9 -0.1057 0.0094 0.0036
1.197 0.082 0.0189168 259.6 -0.1198 0.0076 0.0037
1.207 0.083 0.0205811 282.1 -0.1256 0.0061 0.0047
1.211 0.084 0.0219791 304.5 -0.1075 0.0050 0.0045
1.213 0.084 0.0227476 326.7 -0.0702 0.0042 0.0025
1.218 0.085 0.0230043 348.9 -0.0275 0.0040 0.0010
1.232 0.147 0.622041 13.6 0.0319 0.0047 0.0010
1.347 0.137 0.610613 29.9 0.0934 0.0095 0.0038
1.257 0.143 0.685548 54.9 0.1091 0.0177 0.0113
1.253 0.143 0.678626 77.4 0.0988 0.0327 0.0069
1.275 0.144 0.653298 101.1 0.0302 0.0478 0.0202
1.299 0.141 0.626497 124.0 0.0376 0.0585 0.0247
1.320 0.141 0.617754 146.9 0.1965 0.0525 0.0280
1.295 0.141 0.621971 169.4 -0.0849 0.0421 0.0188
1.277 0.142 0.615617 190.4 0.0140 0.0431 0.0152
1.283 0.144 0.628899 213.3 0.0463 0.0467 0.0103
1.264 0.144 0.644689 235.8 0.0025 0.0483 0.0181
1.311 0.141 0.653895 260.3 -0.0755 0.0536 0.0320
1.305 0.140 0.631084 283.1 -0.0257 0.0301 0.0189
1.268 0.145 0.60608 304.1 -0.1262 0.0164 0.0112
1.347 0.137 0.583193 330.2 -0.0945 0.0097 0.0064
1.233 0.147 0.622958 346.3 -0.0338 0.0046 0.0019
1.309 0.136 0.324915 10.2 0.0370 0.0055 0.0019
1.428 0.129 0.324937 29.0 0.1419 0.0122 0.0070
1.285 0.141 0.336914 55.2 0.0779 0.0591 0.0127
1.275 0.148 0.317183 80.2 0.0884 0.0587 0.0161
1.308 0.143 0.308304 101.8 0.0773 0.0501 0.0125
1.345 0.137 0.310932 124.5 0.2499 0.0635 0.0136
1.363 0.138 0.309355 147.4 0.1291 0.0497 0.0149
1.346 0.138 0.308137 169.3 -0.0101 0.0439 0.0116
1.313 0.141 0.315136 190.1 -0.0034 0.0403 0.0148
1.297 0.141 0.313633 212.4 -0.0973 0.0549 0.0128
1.284 0.145 0.312395 235.9 -0.1648 0.0594 0.0205
1.282 0.142 0.32148 259.8 -0.2124 0.0496 0.0066
1.291 0.139 0.324322 282.6 -0.2486 0.0353 0.0089
1.263 0.141 0.328789 304.1 -0.2207 0.0245 0.0115
1.406 0.130 0.327154 330.3 -0.1278 0.0117 0.0051
1.310 0.136 0.326179 349.8 -0.0440 0.0056 0.0019
1.379 0.132 0.211998 10.0 0.0553 0.0083 0.0020
1.438 0.133 0.208978 30.1 0.1223 0.0155 0.0054
1.323 0.150 0.19881 55.2 0.2060 0.0414 0.0142
1.309 0.145 0.201637 79.6 0.2427 0.0405 0.0235
1.315 0.142 0.202395 101.9 0.1747 0.0417 0.0173
1.349 0.140 0.203858 124.1 0.2030 0.0422 0.0185
1.344 0.140 0.206062 146.8 0.1199 0.0368 0.0172
1.330 0.139 0.206236 168.5 -0.0219 0.0344 0.0114
1.311 0.141 0.205798 190.4 0.0598 0.0384 0.0090
1.301 0.141 0.205026 213.1 -0.1048 0.0479 0.0192
1.271 0.142 0.205935 235.3 -0.2651 0.0588 0.0174
1.302 0.145 0.2096 259.3 -0.0183 0.0579 0.0169
1.279 0.141 0.217482 281.6 -0.1673 0.0519 0.0278
1.306 0.136 0.220888 302.6 -0.2517 0.0511 0.0193
1.483 0.126 0.212458 330.2 -0.0974 0.0176 0.0037
1.390 0.130 0.212405 350.3 -0.0473 0.0086 0.0019
1.381 0.135 0.145411 10.7 0.0388 0.0115 0.0026
1.366 0.139 0.143182 31.7 0.1537 0.0170 0.0063
1.305 0.146 0.141176 55.8 0.2521 0.0270 0.0222
1.321 0.143 0.142389 78.2 0.3146 0.0296 0.0201
1.326 0.141 0.142298 101.5 0.2916 0.0335 0.0132
1.339 0.140 0.142141 123.7 0.1746 0.0343 0.0135
1.338 0.139 0.142785 146.0 0.0781 0.0328 0.0082
1.324 0.140 0.143017 169.0 -0.0216 0.0302 0.0104
1.320 0.141 0.14377 190.7 -0.0205 0.0336 0.0131
1.304 0.142 0.142891 212.9 -0.1175 0.0396 0.0158
1.287 0.143 0.142772 234.9 -0.1552 0.0505 0.0235
1.267 0.147 0.142048 257.1 -0.2622 0.0598 0.0136
1.307 0.153 0.140321 280.1 -0.2238 0.0737 0.0178
1.362 0.150 0.138965 305.8 -0.2672 0.0853 0.0119
1.476 0.131 0.145405 329.9 -0.1090 0.0237 0.0072
1.408 0.133 0.145773 350.1 -0.0312 0.0125 0.0038
1.329 0.140 0.0941872 11.0 0.0528 0.0118 0.0035
1.302 0.143 0.0929594 33.0 0.1434 0.0140 0.0094
1.302 0.143 0.0916552 55.8 0.2333 0.0171 0.0114
1.315 0.142 0.0916004 78.4 0.2494 0.0191 0.0073
1.325 0.141 0.09155 101.2 0.2602 0.0208 0.0097
1.334 0.140 0.0921018 123.6 0.1912 0.0221 0.0098
1.333 0.139 0.0925384 145.9 0.1472 0.0230 0.0097
1.328 0.140 0.0930723 168.8 0.0390 0.0229 0.0031
1.322 0.141 0.0926043 191.1 -0.0285 0.0250 0.0079
1.312 0.142 0.0917862 213.1 -0.1499 0.0281 0.0102
1.304 0.143 0.091758 236.0 -0.2080 0.0314 0.0115
1.282 0.145 0.0907367 258.4 -0.3279 0.0359 0.0109
1.281 0.149 0.089232 280.9 -0.2152 0.0373 0.0098
1.273 0.151 0.0882763 304.3 -0.2608 0.0353 0.0191
1.347 0.142 0.0921976 328.6 -0.1295 0.0217 0.0061
1.353 0.138 0.0942449 350.0 -0.0253 0.0132 0.0021
1.293 0.142 0.0544882 11.4 0.0344 0.0143 0.0039
1.293 0.142 0.054226 33.4 0.1520 0.0147 0.0068
1.307 0.141 0.0536681 55.9 0.2562 0.0158 0.0109
1.321 0.141 0.0536443 78.5 0.2095 0.0173 0.0062
1.332 0.140 0.0541966 101.0 0.2135 0.0192 0.0068
1.332 0.139 0.0539131 123.5 0.1939 0.0205 0.0062
1.336 0.139 0.0541368 145.9 0.0959 0.0223 0.0028
1.327 0.140 0.0540562 168.6 0.0757 0.0228 0.0039
1.319 0.141 0.0538462 190.9 -0.0204 0.0242 0.0070
1.317 0.141 0.0536816 213.5 -0.0858 0.0258 0.0040
1.307 0.142 0.0535469 236.1 -0.1534 0.0280 0.0063
1.300 0.142 0.0531898 258.6 -0.1982 0.0291 0.0123
1.288 0.144 0.0529158 281.6 -0.2698 0.0270 0.0081
1.286 0.145 0.0529779 304.3 -0.2239 0.0249 0.0117
1.283 0.144 0.0533467 327.2 -0.1323 0.0202 0.0054
1.295 0.142 0.0543666 349.4 -0.0393 0.0158 0.0028
1.295 0.136 0.0297282 11.3 0.0252 0.0181 0.0027
1.299 0.136 0.0295192 33.7 0.1769 0.0177 0.0089
1.315 0.136 0.0294826 56.2 0.1904 0.0184 0.0078
1.321 0.135 0.0292259 78.6 0.1731 0.0190 0.0053
1.336 0.135 0.0290547 100.9 0.2073 0.0202 0.0088
1.336 0.135 0.0290816 123.3 0.2285 0.0216 0.0087
1.336 0.136 0.0285712 146.2 0.1227 0.0228 0.0046
1.328 0.135 0.0285711 168.6 0.0786 0.0241 0.0033
1.329 0.136 0.0285613 191.0 -0.0256 0.0254 0.0034
1.323 0.136 0.0284065 213.6 -0.1199 0.0261 0.0064
1.321 0.137 0.0284265 236.2 -0.2113 0.0261 0.0091
1.313 0.137 0.0282582 258.8 -0.1899 0.0257 0.0063
1.303 0.137 0.028466 281.5 -0.2381 0.0246 0.0116
1.302 0.137 0.0287464 304.1 -0.1492 0.0230 0.0071
1.300 0.137 0.0292996 326.9 -0.1712 0.0208 0.0063
1.325 0.193 0.686032 9.6 0.0195 0.0044 0.0016
1.280 0.209 0.759173 34.4 0.0611 0.0131 0.0067
1.269 0.211 0.724423 55.2 0.0700 0.0173 0.0073
1.269 0.218 0.706595 77.9 0.0263 0.0249 0.0159
1.278 0.217 0.692013 100.7 0.0560 0.0261 0.0081
1.247 0.219 0.666849 122.4 0.0310 0.0416 0.0186
1.285 0.216 0.686605 146.2 -0.0199 0.0518 0.0160
1.310 0.208 0.646975 169.3 -0.0134 0.0519 0.0109
1.298 0.208 0.652652 191.2 0.0152 0.0451 0.0099
1.273 0.212 0.655155 214.2 0.0027 0.0437 0.0140
1.289 0.216 0.675464 236.8 -0.0154 0.0312 0.0105
1.251 0.219 0.687033 259.4 -0.0225 0.0295 0.0108
1.262 0.220 0.689521 282.2 -0.0799 0.0251 0.0140
1.288 0.212 0.668769 304.9 -0.0584 0.0157 0.0153
1.302 0.210 0.670334 325.4 -0.0723 0.0122 0.0175
1.320 0.192 0.689697 350.3 -0.0144 0.0045 0.0021
1.305 0.213 0.315898 9.6 0.0421 0.0126 0.0026
1.334 0.224 0.301735 31.8 0.0979 0.0228 0.0161
1.313 0.226 0.307864 56.7 0.1021 0.0286 0.0165
1.274 0.223 0.315169 79.1 0.0696 0.0295 0.0132
1.260 0.225 0.31831 101.2 0.0447 0.0298 0.0075
1.251 0.224 0.322567 123.8 0.0294 0.0307 0.0147
1.254 0.221 0.319141 145.7 0.0772 0.0335 0.0150
1.272 0.220 0.319218 169.2 -0.0471 0.0351 0.0085
1.262 0.217 0.319314 191.1 -0.0053 0.0328 0.0129
1.246 0.223 0.318009 213.5 0.0356 0.0338 0.0213
1.264 0.223 0.324209 236.1 -0.0403 0.0334 0.0150
1.260 0.220 0.325415 259.0 -0.0296 0.0293 0.0189
1.259 0.218 0.328271 281.7 -0.0723 0.0281 0.0177
1.249 0.212 0.336574 303.5 -0.1013 0.0246 0.0187
1.269 0.217 0.332662 323.6 -0.0902 0.0333 0.0215
1.319 0.217 0.316452 352.9 -0.0428 0.0170 0.0135
1.301 0.208 0.207837 10.8 0.0589 0.0139 0.0031
1.302 0.214 0.204978 32.8 0.1304 0.0179 0.0213
1.289 0.219 0.204883 55.6 0.1526 0.0234 0.0221
1.275 0.221 0.206027 78.7 0.1256 0.0271 0.0304
1.245 0.222 0.206347 101.0 0.1334 0.0308 0.0214
1.242 0.224 0.206422 123.4 0.1363 0.0337 0.0183
1.270 0.220 0.204671 145.7 -0.0163 0.0351 0.0123
1.274 0.220 0.205272 169.2 0.0085 0.0330 0.0069
1.269 0.218 0.205896 191.5 -0.0052 0.0336 0.0204
1.266 0.220 0.206161 213.5 -0.0542 0.0348 0.0210
1.255 0.223 0.205694 235.8 -0.0810 0.0354 0.0237
1.275 0.223 0.206287 258.9 -0.1338 0.0361 0.0220
1.280 0.221 0.207235 281.0 -0.0694 0.0355 0.0302
1.314 0.226 0.204687 303.7 -0.1129 0.0369 0.0184
1.316 0.225 0.201206 328.1 -0.1473 0.0290 0.0296
1.296 0.213 0.206586 350.8 -0.0461 0.0166 0.0213
1.304 0.207 0.144626 11.1 0.0855 0.0160 0.0053
1.303 0.210 0.144519 33.2 0.1294 0.0183 0.0140
1.285 0.214 0.143828 55.7 0.2042 0.0227 0.0197
1.278 0.216 0.143558 78.6 0.1665 0.0266 0.0122
1.274 0.218 0.143907 100.9 0.1409 0.0303 0.0132
1.266 0.218 0.144566 123.4 0.1054 0.0335 0.0100
1.284 0.216 0.143797 145.9 0.0285 0.0350 0.0060
1.285 0.216 0.144166 168.8 0.0769 0.0338 0.0081
1.288 0.216 0.144407 191.0 0.0042 0.0339 0.0087
1.264 0.218 0.143981 213.8 -0.0985 0.0351 0.0182
1.259 0.219 0.14468 236.0 -0.0158 0.0368 0.0093
1.269 0.220 0.144511 258.6 -0.0666 0.0352 0.0113
1.289 0.222 0.143486 280.9 -0.1906 0.0356 0.0145
1.290 0.219 0.14232 304.4 -0.1711 0.0313 0.0134
1.292 0.216 0.143012 327.3 -0.1238 0.0246 0.0129
1.302 0.209 0.144278 349.9 -0.0735 0.0179 0.0116
1.319 0.203 0.0941625 11.0 0.0543 0.0166 0.0021
1.310 0.204 0.0942416 33.4 0.1127 0.0171 0.0064
1.309 0.206 0.0941225 55.7 0.1695 0.0200 0.0095
1.299 0.208 0.0932417 78.6 0.1593 0.0233 0.0126
1.301 0.210 0.0932256 101.0 0.1775 0.0259 0.0058
1.304 0.211 0.0930109 123.4 0.1185 0.0287 0.0083
1.300 0.211 0.0929289 146.1 0.0761 0.0300 0.0093
