id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
1.718 0.111 0.0533703 283 -0.1542 0.0216 0.0048
1.709 0.112 0.0541347 304.6 -0.1322 0.0152 0.0052
1.704 0.112 0.0541845 326.9 -0.0944 0.0126 0.0033
1.709 0.113 0.0541062 348.9 -0.0254 0.0113 0.0015
1.704 0.112 0.0268331 11 0.0305 0.0134 0.0052
1.704 0.112 0.0266163 33.4 0.0776 0.0145 0.0034
1.708 0.111 0.025969 55.6 0.1102 0.017 0.0097
1.713 0.111 0.0252325 77.7 0.1352 0.0205 0.0076
1.713 0.11 0.0234605 100 0.1534 0.0282 0.0098
1.717 0.109 0.0211568 122.4 0.0547 0.0403 0.0055
1.712 0.109 0.019023 145.5 0.0578 0.0539 0.009
1.719 0.109 0.0176461 169 0.0884 0.0657 0.0091
1.709 0.108 0.0177519 191.8 -0.0438 0.0697 0.0064
1.712 0.109 0.0188118 214.7 -0.1284 0.0541 0.0106
1.713 0.109 0.0211385 237.6 -0.1218 0.0409 0.0056
1.717 0.11 0.0237932 260.2 -0.1527 0.0275 0.0071
1.711 0.111 0.0257991 282 -0.1483 0.0204 0.0077
1.705 0.111 0.0260628 304.3 -0.1076 0.0168 0.0066
1.704 0.112 0.0266673 326.7 -0.0752 0.0146 0.0067
1.704 0.112 0.0270495 349 -0.0102 0.0134 0.0036
1.987 0.138 0.094512 10.9 0.0364 0.0059 0.0017
1.992 0.137 0.0945223 32.6 0.0976 0.0071 0.0026
1.999 0.137 0.0936391 54.5 0.1511 0.0106 0.0038
1.966 0.142 0.0914339 77.3 0.2185 0.0174 0.0066
1.909 0.148 0.0914769 101.4 0.1941 0.0208 0.0064
1.906 0.146 0.0926064 123.8 0.2148 0.0207 0.006
1.92 0.146 0.0923918 146.3 0.1289 0.0203 0.0034
1.935 0.145 0.0925653 168.7 0.0585 0.0208 0.0026
1.931 0.145 0.0922377 190.4 -0.0794 0.0233 0.0027
1.925 0.149 0.0918243 212.8 -0.1183 0.0301 0.0037
1.901 0.151 0.0890941 234.9 -0.213 0.04 0.0084
1.921 0.148 0.0888855 259.3 -0.2065 0.0494 0.0064
2.038 0.134 0.091741 284.4 -0.1668 0.0231 0.0045
2.019 0.134 0.0939845 306.1 -0.1252 0.0109 0.0032
1.999 0.136 0.0946407 327.4 -0.1182 0.007 0.0034
1.99 0.138 0.0945404 349.1 -0.0332 0.0059 0.0011
1.98 0.136 0.0551901 10.8 0.0406 0.0079 0.0022
1.984 0.136 0.0549372 32.8 0.0896 0.0092 0.004
1.987 0.137 0.0545097 54.8 0.1278 0.0126 0.0048
1.955 0.141 0.053726 77.8 0.1647 0.0177 0.0057
1.9 0.145 0.0540244 100.8 0.2031 0.0216 0.0063
1.892 0.146 0.0543743 123.9 0.1898 0.023 0.0081
1.911 0.146 0.0544703 146.5 0.0931 0.023 0.0041
1.911 0.145 0.0544632 168.5 0.032 0.0229 0.0037
1.916 0.145 0.0542719 190.6 -0.0184 0.0254 0.0031
1.916 0.147 0.053583 213 -0.1211 0.0299 0.0054
1.911 0.149 0.0528662 235.7 -0.1742 0.0363 0.0083
1.947 0.145 0.052464 259.8 -0.1967 0.0335 0.0064
2.01 0.136 0.053503 283.2 -0.1541 0.0217 0.0052
2.005 0.134 0.0546091 305.4 -0.1224 0.0131 0.0053
1.988 0.135 0.0550766 327.1 -0.1049 0.0093 0.0035
1.981 0.135 0.0552864 349 -0.0306 0.008 0.0014
1.957 0.133 0.0304515 11.1 0.032 0.0118 0.0022
1.96 0.133 0.0301723 33.3 0.0841 0.0132 0.003
1.964 0.134 0.0296893 55.5 0.125 0.0158 0.003
1.953 0.136 0.0292631 78.1 0.1267 0.0195 0.0038
1.92 0.138 0.0288711 101 0.1586 0.0234 0.005
1.895 0.14 0.0290818 123.1 0.1401 0.0264 0.0052
1.868 0.14 0.0293523 146.1 0.1071 0.0283 0.0049
1.881 0.142 0.0297299 168.6 0.04 0.0288 0.0044
1.887 0.141 0.0294618 191.2 0.0197 0.031 0.0034
1.892 0.142 0.0289582 213.5 -0.0844 0.0307 0.0056
1.921 0.14 0.0282849 236.3 -0.1224 0.0311 0.0072
1.965 0.137 0.0284482 259.5 -0.1802 0.0264 0.0047
1.978 0.135 0.0290674 282.3 -0.1531 0.0212 0.0038
